YEAR,TEAM,CURRENT ROUND,SCORE,WIN,MATCHUP_ID
2024,Connecticut,64,91.0,1,0
2024,Stetson,64,52.0,0,0
2024,Northwestern,64,77.0,1,1
2024,Florida Atlantic,64,65.0,0,1
2024,San Diego St.,64,69.0,1,2
2024,UAB,64,65.0,0,2
2024,Yale,64,78.0,1,3
2024,Auburn,64,76.0,0,3
2024,Duquesne,64,71.0,1,4
2024,BYU,64,67.0,0,4
2024,Illinois,64,85.0,1,5
2024,Morehead St.,64,69.0,0,5
2024,Washington St.,64,66.0,1,6
2024,Drake,64,61.0,0,6
2024,Iowa St.,64,82.0,1,7
2024,South Dakota St.,64,65.0,0,7
2024,North Carolina,64,90.0,1,8
2024,Wagner,64,62.0,0,8
2024,Michigan St.,64,69.0,1,9
2024,Mississippi St.,64,51.0,0,9
2024,Grand Canyon,64,75.0,1,10
2024,Saint Mary's,64,66.0,0,10
2024,Alabama,64,109.0,1,11
2024,College of Charleston,64,96.0,0,11
2024,Clemson,64,77.0,1,12
2024,New Mexico,64,56.0,0,12
2024,Baylor,64,92.0,1,13
2024,Colgate,64,67.0,0,13
2024,Dayton,64,63.0,1,14
2024,Nevada,64,60.0,0,14
2024,Arizona,64,85.0,1,15
2024,Long Beach St.,64,65.0,0,15
2024,Houston,64,86.0,1,16
2024,Longwood,64,46.0,0,16
2024,Texas A&M,64,98.0,1,17
2024,Nebraska,64,83.0,0,17
2024,James Madison,64,72.0,1,18
2024,Wisconsin,64,61.0,0,18
2024,Duke,64,64.0,1,19
2024,Vermont,64,47.0,0,19
2024,North Carolina St.,64,80.0,1,20
2024,Texas Tech,64,67.0,0,20
2024,Oakland,64,80.0,1,21
2024,Kentucky,64,76.0,0,21
2024,Colorado,64,102.0,1,22
2024,Florida,64,100.0,0,22
2024,Marquette,64,87.0,1,23
2024,Western Kentucky,64,69.0,0,23
2024,Purdue,64,78.0,1,24
2024,Grambling St.,64,50.0,0,24
2024,Utah St.,64,88.0,1,25
2024,TCU,64,72.0,0,25
2024,Gonzaga,64,86.0,1,26
2024,McNeese St.,64,65.0,0,26
2024,Kansas,64,93.0,1,27
2024,Samford,64,89.0,0,27
2024,Oregon,64,87.0,1,28
2024,South Carolina,64,73.0,0,28
2024,Creighton,64,77.0,1,29
2024,Akron,64,60.0,0,29
2024,Texas,64,56.0,1,30
2024,Colorado St.,64,44.0,0,30
2024,Tennessee,64,83.0,1,31
2024,Saint Peter's,64,49.0,0,31
2024,Connecticut,32,75.0,1,32
2024,Northwestern,32,58.0,0,32
2024,San Diego St.,32,85.0,1,33
2024,Yale,32,57.0,0,33
2024,Illinois,32,89.0,1,34
2024,Duquesne,32,63.0,0,34
2024,Iowa St.,32,67.0,1,35
2024,Washington St.,32,56.0,0,35
2024,North Carolina,32,85.0,1,36
2024,Michigan St.,32,69.0,0,36
2024,Alabama,32,72.0,1,37
2024,Grand Canyon,32,61.0,0,37
2024,Clemson,32,72.0,1,38
2024,Baylor,32,64.0,0,38
2024,Arizona,32,78.0,1,39
2024,Dayton,32,68.0,0,39
2024,Houston,32,100.0,1,40
2024,Texas A&M,32,95.0,0,40
2024,Duke,32,93.0,1,41
2024,James Madison,32,55.0,0,41
2024,North Carolina St.,32,79.0,1,42
2024,Oakland,32,73.0,0,42
2024,Marquette,32,81.0,1,43
2024,Colorado,32,77.0,0,43
2024,Purdue,32,106.0,1,44
2024,Utah St.,32,67.0,0,44
2024,Gonzaga,32,89.0,1,45
2024,Kansas,32,68.0,0,45
2024,Creighton,32,86.0,1,46
2024,Oregon,32,73.0,0,46
2024,Tennessee,32,62.0,1,47
2024,Texas,32,58.0,0,47
2024,Connecticut,16,82.0,1,48
2024,San Diego St.,16,52.0,0,48
2024,Illinois,16,72.0,1,49
2024,Iowa St.,16,69.0,0,49
2024,Alabama,16,89.0,1,50
2024,North Carolina,16,87.0,0,50
2024,Clemson,16,77.0,1,51
2024,Arizona,16,72.0,0,51
2024,Duke,16,54.0,1,52
2024,Houston,16,51.0,0,52
2024,North Carolina St.,16,67.0,1,53
2024,Marquette,16,58.0,0,53
2024,Purdue,16,80.0,1,54
2024,Gonzaga,16,68.0,0,54
2024,Tennessee,16,82.0,1,55
2024,Creighton,16,75.0,0,55
2024,Connecticut,8,77.0,1,56
2024,Illinois,8,52.0,0,56
2024,Alabama,8,89.0,1,57
2024,Clemson,8,82.0,0,57
2024,North Carolina St.,8,76.0,1,58
2024,Duke,8,64.0,0,58
2024,Purdue,8,72.0,1,59
2024,Tennessee,8,66.0,0,59
2024,Connecticut,4,86.0,1,60
2024,Alabama,4,72.0,0,60
2024,Purdue,4,63.0,1,61
2024,North Carolina St.,4,50.0,0,61
2024,Connecticut,2,75.0,1,62
2024,Purdue,2,60.0,0,62
2023,Alabama,64,96.0,1,63
2023,Texas A&M Corpus Chris,64,75.0,0,63
2023,Maryland,64,67.0,1,64
2023,West Virginia,64,65.0,0,64
2023,San Diego St.,64,63.0,1,65
2023,College of Charleston,64,57.0,0,65
2023,Furman,64,68.0,1,66
2023,Virginia,64,67.0,0,66
2023,Creighton,64,72.0,1,67
2023,North Carolina St.,64,63.0,0,67
2023,Baylor,64,74.0,1,68
2023,UC Santa Barbara,64,56.0,0,68
2023,Missouri,64,76.0,1,69
2023,Utah St.,64,65.0,0,69
2023,Princeton,64,59.0,1,70
2023,Arizona,64,55.0,0,70
2023,Fairleigh Dickinson,64,63.0,1,71
2023,Purdue,64,58.0,0,71
2023,Florida Atlantic,64,66.0,1,72
2023,Memphis,64,65.0,0,72
2023,Duke,64,74.0,1,73
2023,Oral Roberts,64,51.0,0,73
2023,Tennessee,64,58.0,1,74
2023,Louisiana Lafayette,64,55.0,0,74
2023,Kentucky,64,61.0,1,75
2023,Providence,64,53.0,0,75
2023,Kansas St.,64,77.0,1,76
2023,Montana St.,64,65.0,0,76
2023,Michigan St.,64,72.0,1,77
2023,USC,64,62.0,0,77
2023,Marquette,64,78.0,1,78
2023,Vermont,64,61.0,0,78
2023,Houston,64,63.0,1,79
