YEAR,TEAM,SEED,ROUND,K TEMPO,KADJ T,K OFF,KO RANK,KADJ O,K DEF,KD RANK,KADJ D,KADJ EM,BADJ EM,BADJ O,BADJ D,BARTHAG,GAMES,W,L,WIN%,EFG%,EFG%D,FTR,FTRD,TOV%,TOV%D,OREB%,DREB%,OP OREB%,OP DREB%,RAW T,2PT%,2PT%D,3PT%,3PT%D,BLK%,BLKED%,AST%,OP AST%,2PTR,3PTR,2PTRD,3PTRD,BADJ T,AVG HGT,EFF HGT,EXP,TALENT,FT%,OP FT%,PPPO,PPPD,ELITE SOS,WAB,EFGD% RANK,BADJT RANK,TEAM NO,TR RANK,TR RATING,V 1-25 WINS,V 1-25 LOSS,V 26-50 WINS,V 26-50 LOSS,V 51-100 WINS,V 51-100 LOSS,HI,LO,LAST,SOS RANK,SOS RATING,SOS HI,SOS LO,SOS LAST,LUCK RANK,LUCK RATING,LUCK V 1-25 WINS,LUCK V 1-25 LOSS,LUCK V 26-50 WINS,LUCK V 26-50 LOSS,LUCK V 51-100 WINS,LUCK V 51-100 LOSS,LUCK HI,LUCK LO,LUCK LAST,CONSISTENCY RANK,CONSISTENCY TR RATING,CONSISTENCY V 1-25 WINS,CONSISTENCY V 1-25 LOSS,CONSISTENCY V 26-50 WINS,CONSISTENCY V 26-50 LOSS,CONSISTENCY V 51-100 WINS,CONSISTENCY V 51-100 LOSS,CONSISTENCY HI,CONSISTENCY LO,CONSISTENCY LAST
2024,Akron,14,64,66.7747,65.8933,107.841,122,107.009,99.7096,49,102.072,4.93709,3.485,105.033,101.548,0.596,32,22,10,68.75,52.0,48.6,33.6,29.0,17.2,16.6,29.5,74.4,25.6,70.5,66.7,54.8,50.7,32.0,30.0,8.0,7.8,48.2,45.4,58.5,41.5,63.2,36.8,65.698,76.791,79.973,2.584,10.97,72.4,69.4,1.079,0.997,11.931,-4.5,78,276,1079,110,4.4,0,0,0,0,1,5,83,111,109,145,-0.7,79,195,144,119,0.7,2,2,0,1,3,1,11,240,119,22,8.4,0,0,2,1,2,2,8,232,23
2024,Alabama,4,4,74.1625,72.6461,121.712,2,125.601,108.031,254,103.118,22.4828,23.114,125.159,102.045,0.913,32,21,11,65.625,56.3,49.9,35.2,39.6,16.0,15.6,34.9,70.1,29.9,65.1,74.2,57.6,51.1,36.5,31.9,10.2,12.5,51.5,45.1,53.2,46.8,63.3,36.7,72.507,78.211,82.48,2.094,27.836,78.4,74.3,1.213,1.084,36.254,3.4,149,13,1078,8,18.3,1,7,6,4,6,0,4,15,8,3,12.0,1,215,3,320,-2.1,2,0,1,1,2,2,4,356,320,360,13.5,2,1,2,0,0,0,4,361,360
2024,Arizona,2,16,73.376,71.8379,117.653,10,121.125,96.9086,17,94.5013,26.6237,27.901,121.52,93.619,0.953,33,25,8,75.75757576,55.0,48.7,36.7,25.7,16.1,18.1,36.3,76.9,23.1,63.7,73.4,54.6,47.8,37.1,33.4,9.0,8.6,59.1,52.6,67.4,32.6,61.8,38.2,72.043,78.063,81.464,1.963,76.342,71.9,71.1,1.178,0.967,29.931,4.9,81,16,1077,4,22.0,6,1,4,4,6,2,1,13,4,11,11.0,1,229,11,353,-3.1,0,0,2,4,4,1,8,355,353,359,13.3,2,2,0,0,1,0,8,359,359
2024,Auburn,4,64,70.9629,69.7887,117.364,14,120.579,95.7924,7,91.6765,28.9026,28.605,120.655,92.05,0.957,34,27,7,79.41176471,54.1,43.4,38.2,41.0,14.9,18.2,32.9,69.7,30.3,67.1,71.0,54.9,42.8,35.2,29.8,16.0,8.6,62.0,42.8,62.5,37.5,66.7,33.3,69.847,77.688,80.951,2.195,43.053,75.2,73.6,1.174,0.959,28.032,5.5,1,58,1076,5,21.1,1,4,4,2,12,1,4,37,5,18,10.1,10,106,18,312,-1.9,5,0,0,0,2,2,23,346,314,305,11.4,3,0,4,0,1,1,23,346,305
2024,Baylor,3,32,66.8428,65.6032,117.262,15,122.49,104.166,157,100.185,22.305,22.309,122.209,99.9,0.91,32,22,10,68.75,55.6,51.3,40.5,30.9,17.7,17.1,35.1,72.9,27.1,64.9,66.8,53.4,51.9,39.4,33.5,8.5,9.8,53.9,52.9,61.7,38.3,64.5,35.5,65.735,78.257,81.747,1.617,58.436,74.0,73.0,1.171,1.042,37.902,5.1,233,274,1075,15,16.9,6,8,5,1,2,1,9,36,15,6,11.8,4,107,6,157,0.3,1,0,2,0,4,3,10,216,156,97,9.6,3,1,0,1,2,0,10,354,96
2024,Boise St.,10,68,66.5978,66.807,111.088,60,113.974,100.831,73,97.5892,16.3847,16.224,114.026,97.802,0.854,30,20,10,66.66666667,51.6,49.8,36.1,33.1,16.5,16.8,32.5,76.9,23.1,67.5,66.6,51.2,52.1,34.8,30.6,6.9,11.3,46.9,47.5,60.2,39.8,63.1,36.9,66.619,78.325,80.161,2.047,18.982,74.0,72.2,1.106,1.011,27.69,0.9,142,235,1074,47,11.3,1,0,5,4,4,6,42,81,47,72,6.5,17,347,72,137,0.5,0,2,2,2,1,2,57,224,136,191,10.4,1,0,2,1,5,2,12,200,191
2024,BYU,6,64,70.0246,69.0581,116.926,16,120.486,99.9495,53,99.4765,21.0091,21.656,120.635,98.979,0.907,33,23,10,69.6969697,55.1,48.0,25.3,32.1,15.2,16.0,32.8,75.3,24.7,67.2,70.0,58.0,48.2,34.8,31.8,7.7,7.1,63.2,47.2,49.3,50.7,65.9,34.1,68.967,78.499,81.22,2.232,19.483,73.8,69.8,1.169,0.998,30.879,2.9,61,90,1073,14,17.0,5,3,1,5,5,1,3,31,14,17,10.1,14,265,17,286,-1.5,1,0,1,0,3,4,38,328,286,248,10.9,3,1,0,1,4,1,38,298,248
2024,Clemson,6,8,67.5823,66.1056,113.635,29,117.426,104.781,178,100.489,16.9371,17.379,116.717,99.338,0.865,32,21,11,65.625,53.9,48.7,30.6,31.2,14.9,13.6,27.7,74.8,25.2,72.3,67.6,54.4,47.1,35.4,34.0,11.2,6.8,53.4,44.1,59.8,40.2,59.4,40.6,66.188,78.308,81.541,2.275,64.382,79.0,74.4,1.137,1.048,28.597,0.9,81,257,1072,33,13.0,3,2,3,1,7,6,20,45,33,42,8.4,10,181,42,207,-0.3,4,1,1,1,1,2,1,209,207,239,10.8,1,1,1,1,5,1,47,281,238
2024,Colgate,14,64,66.1152,66.2225,106.356,151,104.65,96.8562,16,102.5,2.15009,0.445,102.289,101.844,0.513,33,24,9,72.72727273,53.4,47.2,27.6,24.5,16.3,16.1,25.0,75.5,24.5,75.0,66.1,53.3,48.7,35.7,29.9,9.8,7.3,56.6,52.9,61.7,38.3,60.4,39.6,66.194,77.926,81.273,1.902,0.2,68.0,67.0,1.062,0.968,11.19,-4.1,33,256,1071,125,2.8,0,2,0,0,0,2,96,141,124,222,-3.2,57,223,221,122,0.6,1,1,0,2,2,0,35,277,122,189,10.4,1,3,2,0,2,0,2,353,188
2024,College of Charleston,13,64,69.7286,69.7757,114.421,23,113.736,104.197,160,106.128,7.60727,8.116,113.335,105.219,0.702,33,26,7,78.78787879,52.4,50.6,26.9,28.3,14.3,16.4,33.5,73.4,26.6,66.5,69.7,52.6,50.5,34.8,33.8,8.2,10.0,53.6,42.8,52.9,47.1,63.1,36.9,69.952,77.503,81.18,1.788,5.524,72.2,70.6,1.144,1.043,11.135,-1.6,192,53,1070,104,4.9,0,0,0,1,0,1,88,153,104,152,-1.0,55,174,152,23,2.7,2,1,2,2,0,0,23,343,23,78,9.4,0,1,1,0,6,1,17,241,78
